item_name,promotion_type,stock_multiplier
1+1 KF 1/2 LITER,1+1,2
1+1 KF 1 LITER,1+1,2
1+1 KF 2 LITER,1+1,2
1+1 WINE GLASS,1+1,2
1+1 WINE BOTTLE,1+1,2
1+1 GLS 4SEASON RED,1+1,2
1+1 GLS 4SEASONS WHITE,1+1,2
1+1 VLN CAB SAUV (GLS),1+1,2
1+1 VLN CAB SAUV (BTL),1+1,2
1+1 VLN CAB SAUV CLASIQ (GLS),1+1,2
1+1 VLN CAB SAUV CLASIQ (BTL),1+1,2
1+1 VLN CHENIN BLANC (GLS),1+1,2
1+1 VLN SAUV BLANC (GLS),1+1,2
1+1 VLN SAUV BLANC (BTL),1+1,2
1+1 BTL4 SEASON WHITE,1+1,2
RED BULL 2+1,2+1,3
CARLSBERG 2+1,2+1,3
TUBORG 2+1,2+1,3
STELLA 1LTR 2+1,2+1,3
SCHNEIDER 2+1,2+1,3
HOEGAARDEN GLS (2+1),2+1,3
HOEGAARDEN LTR MUGS (2+1),2+1,3
2 DOM BEER + 1SPL SHEESHA,BUNDLE,3
2 DOM BEER + 1PREM SHEESHA,BUNDLE,3
4 DOM BEER + 1SPL SHEESHA,BUNDLE,5
2 MUFFINS + BEVERAGE,BUNDLE,3
2 RED BULL,BUNDLE,2
3 RED BULL,BUNDLE,3
5 RED BULL,BUNDLE,5
REDBULL HOOKAH + 2REDBULL,BUNDLE,3
WAFFLES + BEVERAGE,BUNDLE,2
